,x,y,u (m/s),v (m/s),p (Pa)
0,0.014384495,0.12556933,0.06998047,-0.003281004,0.015672507
1,0,0.13475671,0.07281374,0,0.015846433
2,0,0.11701039,0.067301214,0,0.015531595
3,0.0141945,0.14327203,0.07473107,-0.002963428,0.01597827
4,0,0.15235177,0.07705856,0,0.016150866
5,0.014673135,0.10754361,0.06386498,-0.003250265,0.015377954
6,0,0.09892626,0.060411718,0,0.015247421
7,0.012888297,0.013746568,0.010627135,-0.00010981,0.01484969
8,0,0.020158125,0.015427119,0,0.014840459
9,0,0,0,0,0.014854623
10,0.019987524,0,0,0,0.014879236
11,0.014140525,0.16079065,0.07822532,-0.002300376,0.016250594
12,0,0.16985565,0.0800753,0,0.016395671
13,0.014590903,0.030354802,0.022699123,-0.000516387,0.014842122
14,0,0.04031625,0.029258814,0,0.014834795
15,0.015144526,0.050052695,0.035591893,-0.001309214,0.014860167
16,0,0.06047098,0.041493155,0,0.01488504
17,0.015264887,0.06975502,0.046794817,-0.002203021,0.014955475
18,0,0.08014575,0.051897783,0,0.015025225
19,0.014969952,0.08899725,0.056217697,-0.002870488,0.0151295
20,0.039975047,0,0,0,0.014853212
21,0.02986306,0.018219914,0.014535761,-0.00040855,0.014812133
22,0.014132923,0.17830396,0.08055414,-0.00132014,0.016444424
23,0,0.18734443,0.08188806,0,0.016538218
24,0.059962574,0,0,0,0.01479704
25,0.05052991,0.017059596,0.014831025,-0.000734677,0.014762281
26,0.014141102,0.19582012,0.08174138,-0.000140553,0.016524496
27,0,0.2047961,0.08249992,0,0.016552363
28,0.15840122,0.17225938,0,0,0.017436035
29,0.15433289,0.16443428,0.02217716,-0.024995105,0.015995929
30,0.16464466,0.16464466,0,0,0.01473134
31,0.07957291,0,0,0,0.014670899
32,0.06848689,0.016337099,0.015899835,-0.000871267,0.014642085
33,0.014035158,0.21332577,0.08179888,0.001065466,0.016474374
34,0,0.2222789,0.08191389,0,0.016433602
35,0.15380563,0.18086676,0,0,0.019757472
36,0.14774974,0.17392665,0.015331451,-0.022839984,0.018235872
37,0.16229776,0.1569815,0.026785553,-0.02208615,0.013605411
38,0.17225938,0.15840122,0,0,0.011948792
39,0.08798345,0.014901965,0.016665228,-0.001014721,0.014476546
40,0.0983415,0,0,0,0.01448313
41,0.013876203,0.23095623,0.08069987,0.002124755,0.016298862
42,0,0.23977959,0.08012538,0,0.01619827
43,0.15096931,0.1902025,0,0,0.021307388
44,0.14377856,0.18499288,0.008307985,-0.014372339,0.019980986
45,0.17085868,0.14963308,0.03539129,-0.019850094,0.011247034
46,0.18086676,0.15380563,0,0,0.009614011
47,0.106810585,0.014370256,0.01863767,-0.001142813,0.014224882
48,0.11632936,0,0,0,0.014209287
49,0.013889375,0.2484887,0.0784383,0.002926378,0.01602496
50,0,0.25732446,0.07712528,0,0.015880946
51,0.15,0.2,0,0,0.021977004
52,0.14301258,0.19635534,0.003798374,-0.002932385,0.02100826
53,0.1820991,0.14463037,0.037779275,-0.012816375,0.009039299
54,0.1902025,0.15096931,0,0,0.007745781
55,0.12489822,0.014048229,0.02102136,-0.001214776,0.013886871
56,0.13390304,0,0,0,0.013836378
57,0.014023411,0.26610303,0.07496856,0.003405692,0.015693385
58,0,0.2750834,0.07285779,0,0.015528184
59,0.15096931,0.20979749,0,0,0.021357136
60,0.14227934,0.20734726,0.005324991,0.008189523,0.020682253
61,0.19406727,0.1422642,0.035752103,-0.004943773,0.007329985
62,0.2,0.15,0,0,0.00635008
63,0.14254381,0.01385126,0.023602704,-0.001214871,0.013454186
64,0.15137787,0,0,0,0.013350166
65,0.014165733,0.28395778,0.070197895,0.003525409,0.015351419
66,0,0.2929624,0.06731061,0,0.015188772
67,0.15380563,0.21913323,0,0,0.019719332
68,0.14459594,0.21848728,0.010257492,0.018782305,0.019437464
69,0.2060633,0.14254956,0.03056122,0.001546845,0.006184749
70,0.20979749,0.15096931,0,0,0.005419576
71,0.16011475,0.013770336,0.02625933,-0.001114183,0.012920799
72,0.16874602,0,0,0,0.012760029
73,0.014609024,0.30206198,0.064061336,0.003382362,0.01503959
74,0,0.31107363,0.060411762,0,0.014894721
75,0.15840122,0.22774062,0,0,0.017289456
76,0.14931501,0.22881392,0.017375834,0.025275925,0.017493784
77,0.21617894,0.14657867,0.01892611,0.004618053,0.0054321
78,0.21913323,0.15380563,0,0,0.004938521
79,0.17760518,0.013724543,0.02860758,-0.000896672,0.012305737
80,0.18610609,0,0,0,0.012085898
81,0.015149156,0.32039198,0.05652383,0.002959231,0.014786076
82,0,0.32985425,0.051897783,0,0.014666493
83,0.16464466,0.23535533,0,0,0.014535905
84,0.1557585,0.23825724,0.026137283,0.02794539,0.015058209
85,0.22631888,0.14875579,0.018367883,0.007568004,0.005283085
86,0.22774062,0.15840122,0,0,0.004759555
87,0.19505286,0.01381729,0.030611254,-0.000584925,0.011637345
88,0.20355475,0,0,0,0.011361786
89,0.015998047,0.33916724,0.04741351,0.002326811,0.014607207
90,0,0.34952903,0.041493155,0,0.014528197
91,0.016424874,0.35832727,0.03663789,0.001416698,0.01451773
92,0,0.36968374,0.029258814,0,0.014484852
93,0.17225938,0.24159877,0,0,0.011750692
94,0.16432948,0.24543156,0.030846898,0.023877151,0.012553201
95,0.23567267,0.15472226,0.012375,0.00776744,0.005248226
96,0.23535533,0.16464466,0,0,0.004900144
97,0.21239871,0.013909079,0.031809837,-0.000213139,0.010952297
98,0.2209603,0,0,0,0.010633181
99,0.017718995,0.37945655,0.022931049,0.000613096,0.014490761
100,0,0.38984188,0.015427119,0,0.014494021
101,0.013526485,0.39685062,0.010161601,0.000125483,0.014519165
102,0,0.41,0,0,0.014522961
103,0.18086676,0.24619436,0,0,0.00939077
104,0.17382888,0.2521396,0.03750977,0.019569274,0.010185572
105,0.24425057,0.1618859,0.00818124,0.00710448,0.005466322
106,0.24159877,0.17225938,0,0,0.005194843
107,0.22986178,0.013972468,0.032057397,0.000182838,0.010285763
108,0.23831305,0,0,0,0.009946496
109,0.01991181,0.41,0,0,0.014536969
110,0.1902025,0.2490307,0,0,0.007477394
111,0.1849912,0.25622356,0.037933882,0.011790227,0.008171095
112,0.2508624,0.1712798,0.004205394,0.005047743,0.005703509
113,0.24619436,0.18086676,0,0,0.005562807
114,0.24729759,0.013987199,0.031369317,0.000500805,0.009675965
115,0.25571686,0,0,0,0.009336115
116,0.030001614,0.39495468,0.012029722,0.000291887,0.014474281
117,0.03982362,0.41,0,0,0.014503141
118,0.19612516,0.25685433,0.030875616,0.003611659,0.006699336
119,0.2,0.25,0,0,0.006037597
120,0.25563684,0.18174057,0.001834435,0.003027962,0.005979381
121,0.2490307,0.1902025,0,0,0.005858309
122,0.26478466,0.014073631,0.030160967,0.000736775,0.009143139
123,0.27323222,0,0,0,0.008818101
124,0.04961318,0.39437056,0.013531354,0.000572638,0.014416125
125,0.059735432,0.41,0,0,0.014446384
126,0.20979749,0.2490307,0,0,0.005163344
127,0.20729862,0.25755918,0.030297894,-0.001736309,0.005797515
128,0.25793165,0.19306304,0.000640621,0.001228194,0.006127446
129,0.25,0.2,0,0,0.005991171
130,0.2825172,0.014336581,0.028797094,0.000891743,0.008691159
131,0.29091877,0,0,0,0.008390529
132,0.0692717,0.39414808,0.015350289,0.000812685,0.014305888
133,0.0792844,0.41,0,0,0.014335984
134,0.21913323,0.24619436,0,0,0.00474749
135,0.21832243,0.25484294,0.023434706,-0.005614313,0.005258128
136,0.22774062,0.24159877,0,0,0.004703344
137,0.22838289,0.25011095,0.016311787,-0.0070637,0.005080841
138,0.24159877,0.22774062,0,0,0.005244246
139,0.24618936,0.23588663,0.006526224,-0.005879439,0.005459095
140,0.23535533,0.23535533,0,0,0.004893364
141,0.25808924,0.20465365,0.000457961,-0.000273798,0.006153894
142,0.2490307,0.20979749,0,0,0.005906882
143,0.25573024,0.21582857,0.001125763,-0.001791046,0.005999443
144,0.24619436,0.21913323,0,0,0.005615439
145,0.25227726,0.2262339,0.003095482,-0.003808188,0.005772281
146,0.3004233,0.014642339,0.027212508,0.000960354,0.008319153
147,0.3090669,0,0,0,0.008045139
148,0.088307545,0.39468762,0.016893525,0.000981819,0.014144884
149,0.098003834,0.41,0,0,0.014163248
150,0.23816058,0.2441294,0.011442017,-0.007350938,0.005219217
151,0.31853142,0.014917826,0.025426388,0.000973645,0.008015216
152,0.32728657,0,0,0,0.007772095
153,0.10680548,0.3951036,0.018834354,0.001116441,0.01391465
154,0.116167806,0.41,0,0,0.013906598
155,0.33675078,0.015131152,0.023575777,0.000914071,0.00777101
156,0.34552225,0,0,0,0.007561824
157,0.124964826,0.39534375,0.021191686,0.001184396,0.013600498
158,0.13426013,0.41,0,0,0.013554812
159,0.35513735,0.015307884,0.021831144,0.000809852,0.00757562
160,0.3641889,0,0,0,0.007397004
161,0.14290895,0.3954512,0.02379779,0.001200121,0.01319902
162,0.15216641,0.41,0,0,0.013101083
163,0.37384894,0.015478139,0.020266889,0.000708081,0.007414016
164,0.38303187,0,0,0,0.007261341
165,0.16079313,0.39552096,0.026381813,0.001106945,0.012706766
166,0.16996333,0.41,0,0,0.012552743
167,0.3927987,0.01563569,0.018905967,0.000601977,0.007276525
168,0.40216398,0,0,0,0.007146511
169,0.17861657,0.39561424,0.028588789,0.000896832,0.012141923
170,0.18775967,0.41,0,0,0.011928822
171,0.41199735,0.015783913,0.017757572,0.000501426,0.007157198
172,0.42143887,0,0,0,0.007045603
173,0.19642241,0.3957479,0.030142222,0.000587953,0.011528426
174,0.20564543,0.41,0,0,0.011262775
175,0.43145728,0.015920876,0.016802903,0.000411834,0.00704904
176,0.44109786,0,0,0,0.006952057
177,0.2142753,0.39581263,0.031077072,0.000252974,0.010897434
178,0.22346944,0.41,0,0,0.010593854
179,0.4511685,0.01604328,0.016016193,0.000335595,0.00694851
180,0.46108538,0,0,0,0.006862719
181,0.23213258,0.3957384,0.03149506,-8.73692E-05,0.01027941
182,0.24125457,0.41,0,0,0.009955993
183,0.4710905,0.016131213,0.015358164,0.000271137,0.006853074
184,0.4810729,0,0,0,0.006776379
185,0.2500749,0.39564666,0.031176513,-0.00040112,0.009702494
186,0.2591104,0.41,0,0,0.009378128
187,0.49105766,0.016159687,0.014790488,0.000215776,0.006761224
188,0.5010604,0,0,0,0.006692119
189,0.26804173,0.39562425,0.030085139,-0.000619694,0.009192078
190,0.27712977,0.41,0,0,0.008879728
191,0.51104414,0.016177993,0.014334301,0.000170998,0.006672
192,0.52104795,0,0,0,0.006608806
193,0.2860513,0.3955278,0.028698709,-0.00075472,0.008756481
194,0.29528534,0.41,0,0,0.008464543
195,0.53103554,0.01618637,0.013966793,0.000135476,0.006584448
196,0.5410355,0,0,0,0.006525836
197,0.30426008,0.3953364,0.027197774,-0.000830635,0.008389697
198,0.31354094,0.41,0,0,0.008124977
199,0.5510262,0.016189447,0.01367188,0.000107616,0.006497997
200,0.561023,0,0,0,0.006442949
201,0.3226729,0.39506364,0.02569867,-0.000843882,0.008086105
202,0.33212423,0.41,0,0,0.007850554
203,0.5710155,0.016190413,0.013436048,8.56871E-05,0.006412347
204,0.5810105,0,0,0,0.006360098
205,0.34137106,0.39481854,0.02413315,-0.000810691,0.007835821
206,0.35094443,0.41,0,0,0.007629228
207,0.59100384,0.016190737,0.013247693,6.84056E-05,0.006327316
208,0.60099804,0,0,0,0.006277292
209,0.36028722,0.3945902,0.022624493,-0.00074792,0.007628447
210,0.36984465,0.41,0,0,0.007449633
211,0.61099166,0.016190846,0.013097169,5.47092E-05,0.00624281
212,0.62098557,0,0,0,0.006194579
213,0.3794177,0.39440694,0.021199316,-0.000662444,0.007454046
214,0.38906178,0.41,0,0,0.007300318
215,0.6309793,0.016190879,0.012976806,4.3801E-05,0.006158778
216,0.6409731,0,0,0,0.006112005
217,0.39874884,0.39425603,0.019917741,-0.000571667,0.007305362
218,0.4083795,0.41,0,0,0.007172877
219,0.6509669,0.01619089,0.012880546,3.50787E-05,0.006075183
220,0.6609606,0,0,0,0.006029608
221,0.41827378,0.39412346,0.018808387,-0.000482847,0.007174418
222,0.42803934,0.41,0,0,0.00705918
223,0.6709544,0.016190892,0.012803596,2.80816E-05,0.005992001
224,0.68094814,0,0,0,0.005947414
225,0.43795022,0.39402515,0.017845675,-0.000404661,0.007056281
226,0.44779298,0.41,0,0,0.006954764
227,0.69094193,0.016190894,0.012742148,2.24527E-05,0.005909205
228,0.70093566,0,0,0,0.005865439
229,0.45774218,0.39393312,0.017044825,-0.000336391,0.006946778
230,0.4676725,0.41,0,0,0.00685635
231,0.71092945,0.016190894,0.012693173,1.79147E-05,0.00582677
232,0.7209232,0,0,0,0.005783689
233,0.47761706,0.39388895,0.016344113,-0.000277363,0.006843517
234,0.4875843,0.41,0,0,0.00676207
235,0.730917,0.016190894,0.012654247,1.42533E-05,0.005744671
236,0.7409107,0,0,0,0.005702161
237,0.4975217,0.39386463,0.015752992,-0.000228271,0.006744684
238,0.5074961,0.41,0,0,0.006670492
239,0.7509045,0.016190894,0.012623414,1.13013E-05,0.005662882
240,0.76089823,0,0,0,0.005620849
241,0.517438,0.39384913,0.015260744,-0.000188182,0.006649065
242,0.52740794,0.41,0,0,0.006580678
243,0.770892,0.016190894,0.01259909,8.92598E-06,0.005581376
244,0.78088576,0,0,0,0.005539742
245,0.5373556,0.39384225,0.014848238,-0.000155796,0.00655583
246,0.5473197,0.41,0,0,0.006492085
247,0.79087955,0.016190894,0.012579991,7.02139E-06,0.005500129
248,0.8008733,0,0,0,0.005458829
249,0.55727124,0.39383817,0.014504014,-0.00012983,0.006464434
250,0.56723154,0.41,0,0,0.006404417
251,0.8108671,0.016190894,0.012565062,5.50228E-06,0.005419118
252,0.8208608,0,0,0,0.005378097
253,0.5771847,0.3938359,0.014215193,-0.000108974,0.006374529
254,0.58714336,0.41,0,0,0.006317546
255,0.8308546,0.016190894,0.012553452,4.29481E-06,0.005338321
256,0.8408483,0,0,0,0.005297535
257,0.5970974,0.39383456,0.013971549,-9.21284E-05,0.006285899
258,0.6070552,0.41,0,0,0.006231425
259,0.8508421,0.016190894,0.012544464,3.34082E-06,0.005257722
260,0.86083585,0,0,0,0.005217133
261,0.61701006,0.39383385,0.013764711,-7.84129E-05,0.006198409
262,0.62696695,0.41,0,0,0.006146043
263,0.87082964,0.016190894,0.012537542,2.59145E-06,0.005177301
264,0.8808234,0,0,0,0.005136879
265,0.63692236,0.39383355,0.013588075,-6.71406E-05,0.00611197
266,0.6468788,0.41,0,0,0.006061397
267,0.89081717,0.016190894,0.01253223,2.00711E-06,0.005097045
268,0.9008109,0,0,0,0.005056764
269,0.65683424,0.39383343,0.013436539,-5.7782E-05,0.006026511
270,0.6667906,0.41,0,0,0.005977479
271,0.9108047,0.016190894,0.012528165,1.55612E-06,0.00501694
272,0.9207984,0,0,0,0.004976778
273,0.67674583,0.3938333,0.013306027,-4.99335E-05,0.005941966
274,0.68670243,0.41,0,0,0.005894269
275,0.9307922,0.016190894,0.012525054,1.21264E-06,0.004936973
276,0.94078594,0,0,0,0.004896914
277,0.6966573,0.39383322,0.013193154,-4.32935E-05,0.00585827
278,0.7066142,0.41,0,0,0.005811735
279,0.95077974,0.016190894,0.012522659,9.55195E-07,0.004857134
280,0.96077347,0,0,0,0.004817162
281,0.71656877,0.39383322,0.013095202,-3.76347E-05,0.005775353
282,0.726526,0.41,0,0,0.005729834
283,0.97076726,0.016190894,0.012520796,7.65914E-07,0.004777413
284,0.980761,0,0,0,0.004737516
285,0.73648053,0.39383328,0.013009983,-3.27793E-05,0.005693149
286,0.74643785,0.41,0,0,0.005648521
287,0.9907548,0.016190894,0.012519313,6.30026E-07,0.004697801
288,1.0007485,0,0,0,0.004657971
289,0.7563926,0.3938334,0.012935706,-2.85872E-05,0.005611591
290,0.7663497,0.41,0,0,0.005567746
291,1.0107423,0.016190894,0.012518099,5.35431E-07,0.004618291
292,1.0207361,0,0,0,0.004578518
293,0.7763048,0.3938335,0.01287097,-2.49482E-05,0.005530614
294,0.78626144,0.41,0,0,0.005487457
295,1.0307299,0.016190894,0.012517063,4.72294E-07,0.004538876
296,1.0407236,0,0,0,0.004499154
297,0.79621696,0.39383337,0.012814613,-2.17742E-05,0.005450155
298,0.80617326,0.41,0,0,0.005407601
299,1.0507174,0.016190894,0.01251614,4.32673E-07,0.004459549
300,1.0607111,0,0,0,0.004419873
301,0.8161291,0.39383325,0.012765472,-1.89963E-05,0.005370153
302,0.8260851,0.41,0,0,0.005328126
303,1.0707049,0.016190894,0.01251528,4.10202E-07,0.004380305
304,1.0806986,0,0,0,0.00434067
305,0.83604103,0.39383328,0.012722499,-1.6561E-05,0.005290551
306,0.8459969,0.41,0,0,0.005248984
307,1.0906924,0.016190894,0.01251445,3.99816E-07,0.004301138
308,1.1006862,0,0,0,0.00426154
309,0.8559526,0.39383337,0.012684987,-1.44215E-05,0.005211297
310,0.8659087,0.41,0,0,0.00517013
311,1.11068,0.016190894,0.012513624,3.97526E-07,0.004222044
312,1.1206737,0,0,0,0.00418248
313,0.8758641,0.3938334,0.012652395,-1.2536E-05,0.005132341
314,0.8858205,0.41,0,0,0.005091521
315,1.1306674,0.016190894,0.012512786,4.0022E-07,0.004143017
316,1.1406612,0,0,0,0.004103484
317,0.8957757,0.39383346,0.012624048,-1.08743E-05,0.005053638
318,0.90573233,0.41,0,0,0.005013119
319,1.150655,0.016190894,0.01251193,4.05514E-07,0.004064053
320,1.1606487,0,0,0,0.004024549
321,0.91568726,0.3938337,0.012599321,-9.41488E-06,0.004975147
322,0.92564416,0.41,0,0,0.004934887
323,1.1706425,0.016190894,0.012511049,4.11615E-07,0.003985149
324,1.1806363,0,0,0,0.003945672
325,0.93559885,0.39383394,0.012577899,-8.13456E-06,0.004896835
326,0.9455559,0.41,0,0,0.004856798
327,1.1906301,0.016190894,0.012510146,4.17224E-07,0.003906299
328,1.2006238,0,0,0,0.003866847
329,0.9555105,0.39383394,0.012559548,-7.00798E-06,0.004818668
330,0.96546775,0.41,0,0,0.004778824
331,1.2106175,0.016190894,0.012509221,4.21438E-07,0.0038275
332,1.2206113,0,0,0,0.003788072
333,0.97542244,0.3938338,0.012543861,-6.01543E-06,0.004740621
334,0.9853796,0.41,0,0,0.004700941
335,1.2306051,0.016190894,0.012508282,4.2368E-07,0.003748749
336,1.2405988,0,0,0,0.003709343
337,0.9953344,0.39383373,0.012530369,-5.14433E-06,0.004662668
338,1.0052913,0.41,0,0,0.004623128
339,1.2505926,0.016190894,0.012507331,4.2363E-07,0.003670042
340,1.2605864,0,0,0,0.003630657
341,1.0152462,0.39383373,0.012518775,-4.38334E-06,0.00458479
342,1.0252032,0.41,0,0,0.004545367
343,1.2705802,0.016190894,0.012506376,4.21162E-07,0.003591376
344,1.2805738,0,0,0,0.00355201
345,1.035158,0.3938337,0.012508921,-3.71943E-06,0.004506968
346,1.045115,0.41,0,0,0.004467644
347,1.2905676,0.016190894,0.012505423,4.16298E-07,0.003512748
348,1.3005614,0,0,0,0.003473399
349,1.05507,0.3938336,0.01250062,-3.13999E-06,0.004429187
350,1.0650268,0.41,0,0,0.004389947
351,1.3105552,0.016190894,0.012504479,4.09153E-07,0.003434154
352,1.3205489,0,0,0,0.003394822
353,1.0749819,0.39383352,0.01249365,-2.63456E-06,0.004351436
354,1.0849386,0.41,0,0,0.004312265
355,1.3305427,0.016190894,0.012503549,3.99902E-07,0.003355591
356,1.3405365,0,0,0,0.003316276
357,1.0948938,0.3938334,0.012487816,-2.19443E-06,0.004273705
358,1.1048504,0.41,0,0,0.004234591
359,1.3505303,0.016190894,0.012502637,3.88754E-07,0.003277058
360,1.3605239,0,0,0,0.003237757
361,1.1148057,0.3938333,0.012482971,-1.81252E-06,0.004195985
362,1.1247623,0.41,0,0,0.004156917
363,1.3705177,0.016190894,0.01250175,3.75941E-07,0.003198551
364,1.3805115,0,0,0,0.003159264
365,1.1347175,0.39383313,0.012479053,-1.48218E-06,0.004118268
366,1.1446741,0.41,0,0,0.004079238
367,1.3905053,0.016190894,0.012500891,3.61708E-07,0.003120069
368,1.400499,0,0,0,0.003080794
369,1.1546295,0.39383274,0.01247602,-1.19721E-06,0.004040549
370,1.1645858,0.41,0,0,0.004001549
371,1.4104928,0.016190894,0.012500064,3.46311E-07,0.003041608
372,1.4204866,0,0,0,0.003002346
373,1.1745416,0.39383233,0.012473662,-9.53345E-07,0.003962821
374,1.1844977,0.41,0,0,0.003923845
375,1.4304804,0.016190894,0.012499272,3.30006E-07,0.002963167
376,1.440474,0,0,0,0.002923916
377,1.1944535,0.39383212,0.012471717,-7.4708E-07,0.003885083
378,1.2044095,0.41,0,0,0.003846125
379,1.4504678,0.016190894,0.012498517,3.13033E-07,0.002884744
380,1.4604616,0,0,0,0.002845503
381,1.2143654,0.39383206,0.012470107,-5.67734E-07,0.003807334
382,1.2243212,0.41,0,0,0.003768387
383,1.4704554,0.016190894,0.0124978,2.95603E-07,0.002806338
384,1.4804491,0,0,0,0.002767106
385,1.2342751,0.39383358,0.012467729,-4.19021E-07,0.003729575
386,1.2442331,0.41,0,0,0.003690632
387,1.4904429,0.016190894,0.012497122,2.77908E-07,0.002727945
388,1.5004367,0,0,0,0.002688722
389,1.2541866,0.39383358,0.012466793,-2.95636E-07,0.003651795
390,1.2641449,0.41,0,0,0.003612856
391,1.5104305,0.016190894,0.012496485,2.60161E-07,0.002649566
392,1.5204241,0,0,0,0.00261035
393,1.2740986,0.39383367,0.01246609,-1.94387E-07,0.003573996
394,1.2840567,0.41,0,0,0.00353506
395,1.5304179,0.016190894,0.012495888,2.42635E-07,0.002571198
396,1.5404117,0,0,0,0.00253199
397,1.2940109,0.3938337,0.012465651,-1.09843E-07,0.003496179
398,1.3039685,0.41,0,0,0.003457247
399,1.5504055,0.016190894,0.012495332,2.25648E-07,0.00249284
400,1.5603992,0,0,0,0.002453638
401,1.3139231,0.39383367,0.012465464,-3.79524E-08,0.003418346
402,1.3238803,0.41,0,0,0.003379415
403,1.570393,0.016190894,0.012494814,2.09479E-07,0.002414491
404,1.5803868,0,0,0,0.002375295
405,1.333835,0.3938336,0.01246544,2.02183E-08,0.003340497
406,1.3437922,0.41,0,0,0.003301565
407,1.5903805,0.016190894,0.012494332,1.9428E-07,0.002336149
408,1.6003742,0,0,0,0.002296959
409,1.3537469,0.39383364,0.012465502,6.4955E-08,0.003262632
410,1.363704,0.41,0,0,0.003223697
411,1.610368,0.016190894,0.012493885,1.80094E-07,0.002257815
412,1.6203618,0,0,0,0.002218629
413,1.3736588,0.3938337,0.012465622,9.89035E-08,0.00318475
414,1.3836157,0.41,0,0,0.003145812
415,1.6303556,0.016190894,0.01249347,1.66969E-07,0.002179487
416,1.6403493,0,0,0,0.002140305
417,1.3935708,0.39383373,0.012465852,1.24472E-07,0.003106854
418,1.4035276,0.41,0,0,0.003067913
419,1.6503431,0.016190894,0.012493083,1.55116E-07,0.002101164
420,1.6603369,0,0,0,0.002061986
421,1.4134829,0.39383355,0.012466282,1.44293E-07,0.003028944
422,1.4234394,0.41,0,0,0.00299
423,1.6703306,0.016190894,0.012492723,1.45064E-07,0.002022846
424,1.6803243,0,0,0,0.001983671
425,1.433395,0.39383322,0.012466864,1.59521E-07,0.002951021
426,1.4433511,0.41,0,0,0.002912073
427,1.6903181,0.016190894,0.012492384,1.37676E-07,0.001944532
428,1.7003119,0,0,0,0.00190536
429,1.453307,0.39383298,0.012467413,1.68115E-07,0.002873086
430,1.463263,0.41,0,0,0.002834133
431,1.7103057,0.016190894,0.012492058,1.33794E-07,0.001866222
432,1.7202994,0,0,0,0.001827052
433,1.4732187,0.39383298,0.012467815,1.69478E-07,0.00279514
434,1.4831748,0.41,0,0,0.002756181
435,1.7302932,0.016190894,0.012491736,1.34172E-07,0.001787916
436,1.740287,0,0,0,0.001748747
437,1.4931302,0.39383313,0.012468087,1.66178E-07,0.002717183
438,1.5030867,0.41,0,0,0.002678218
439,1.7502807,0.016190894,0.012491407,1.41106E-07,0.001709613
440,1.7602744,0,0,0,0.001670445
441,1.5130419,0.39383337,0.012468296,1.60803E-07,0.002639217
442,1.5229985,0.41,0,0,0.002600247
443,1.7702682,0.016190894,0.01249105,1.57428E-07,0.001631315
444,1.780262,0,0,0,0.001592147
445,1.5329534,0.39383355,0.012468537,1.55935E-07,0.002561244
446,1.5429102,0.41,0,0,0.00252227
447,1.7902558,0.016190894,0.012490643,1.8548E-07,0.001553022
448,1.8002495,0,0,0,0.001513853
449,1.5528651,0.39383364,0.012468846,1.52191E-07,0.002483265
450,1.5628221,0.41,0,0,0.002444286
451,1.8102432,0.016190894,0.012490157,2.26487E-07,0.001474736
452,1.820237,0,0,0,0.001435566
453,1.572777,0.39383367,0.012469169,1.47231E-07,0.002405279
454,1.5827339,0.41,0,0,0.002366296
455,1.8302308,0.016190894,0.012489557,2.8369E-07,0.00139646
456,1.8402245,0,0,0,0.001357288
457,1.5926888,0.39383376,0.012469457,1.39593E-07,0.002327287
458,1.6026456,0.41,0,0,0.002288301
459,1.8502183,0.016190894,0.012488796,3.6502E-07,0.001318198
460,1.8602121,0,0,0,0.001279021
461,1.6126007,0.39383385,0.012469706,1.28991E-07,0.00224929
462,1.6225575,0.41,0,0,0.0022103
463,1.8702059,0.016190894,0.012487805,4.82439E-07,0.001239952
464,1.8801997,0,0,0,0.001200769
465,1.8901933,0.016190894,0.01248648,6.50408E-07,0.001161731
466,1.9001871,0,0,0,0.001122538
467,1.6325123,0.3938339,0.012469946,1.15979E-07,0.002171288
468,1.6424693,0.41,0,0,0.002132296
469,1.9101809,0.016190894,0.01248468,8.88496E-07,0.001083542
470,1.9201747,0,0,0,0.001044333
471,1.6524241,0.39383385,0.012470264,1.03403E-07,0.002093284
472,1.6623812,0.41,0,0,0.002054288
473,1.9301684,0.016190814,0.012482141,1.22659E-06,0.001005396
474,1.9401622,0,0,0,0.000966158
475,1.9501561,0.016189976,0.012478038,1.74139E-06,0.000927305
476,1.9601498,0,0,0,0.000888017
477,1.9701438,0.016187213,0.01247094,2.57596E-06,0.000849293
478,1.9801372,0,0,0,0.000809922
479,1.672336,0.39383364,0.012470657,9.25311E-08,0.002015276
480,1.6822929,0.41,0,0,0.001976278
481,1.9901313,0.016182924,0.01246016,3.96103E-06,0.000771407
482,2.0001247,0,0,0,0.000731913
483,1.6922477,0.39383352,0.012470943,7.90887E-08,0.001937266
484,1.7022047,0.41,0,0,0.001898265
485,2.010118,0.016180148,0.012446394,6.10897E-06,0.000693739
486,2.0201123,0,0,0,0.000654033
487,2.0301015,0.016182242,0.012429827,9.45524E-06,0.000616396
488,2.0400999,0,0,0,0.000576278
489,1.7121596,0.39383364,0.012471017,5.9291E-08,0.001859255
490,1.7221166,0.41,0,0,0.00182025
491,2.0500963,0.016187614,0.012405113,1.54155E-05,0.00053951
492,2.0600874,0,0,0,0.000498657
493,2.0700998,0.016200675,0.012366678,2.68623E-05,0.000463483
494,2.0800748,0,0,0,0.000421344
495,1.7320714,0.3938338,0.012471044,3.62865E-08,0.001781242
496,1.7420284,0.41,0,0,0.001742236
497,2.0901356,0.016214494,0.012291889,4.91536E-05,0.000389311
498,2.1000624,0,0,0,0.000345121
499,2.1102242,0.01624863,0.012162654,9.29049E-05,0.000319561
500,2.12005,0,0,0,0.000273037
501,1.7519834,0.3938337,0.01247118,1.43423E-08,0.001703231
502,1.7619401,0.41,0,0,0.001664224
503,2.1303265,0.016138587,0.011803707,0.000175365,0.00026131
504,2.1400375,0,0,0,0.000216517
505,2.1502883,0.015548752,0.010906333,0.000312262,0.000232063
506,2.160025,0,0,0,0.000224245
507,1.7718955,0.39383352,0.012471321,-9.68127E-09,0.001625222
508,1.781852,0.41,0,0,0.001586213
509,2.169911,0.014618737,0.00962705,0.000402829,0.000295391
